Standard Number,Standard Version,Standard Title,Standard Level,Standard Type,Assessment Type,Credits,Domain,Standard Status,Standard Version Status
19158,2,Demonstrate knowledge of sheep breeding methods and programmes,4,Unit,Internal,4,Sheep Farming,Expired,Current
19159,3,Demonstrate knowledge of sheep mating management practices,4,Unit,Internal,4,Sheep Farming,Expired,Current
19160,2,"Implement tupping, lambing, docking, and weaning of lambs",4,Unit,Internal,8,Sheep Farming,Expired,Current
19161,3,Prepare and undertake shearing related activities on a farm,4,Unit,Internal,8,Sheep Farming,Expired,Current
19162,4,Demonstrate knowledge of care for livestock during road transport,3,Unit,Internal,3,Transportation of Livestock by Road,Expired,Current
19163,1,Drive a heavy motor vehicle carrying livestock,4,Unit,Internal,6,Transportation of Livestock by Road,Expired,Current
19164,1,Load and unload livestock for transport by road,4,Unit,Internal,6,Transportation of Livestock by Road,Expired,Current
19165,4,Describe documentation required for the transportation of livestock by road,1,Unit,Internal,2,Transportation of Livestock by Road,Expired,Current
19166,1,Use and maintain a livestock road transportation crate,2,Unit,Internal,4,Transportation of Livestock by Road,Expired,Current
19167,1,Transport sheep and/or goats by road,3,Unit,Internal,4,Transportation of Livestock by Road,Expired,Current
19168,1,Transport cattle by road,3,Unit,Internal,4,Transportation of Livestock by Road,Expired,Current
19169,2,Implement a mating and calving plan for a dairy herd under supervision,4,Unit,Internal,6,Dairy Farming,Expired,Current
19172,5,Move goods using a pallet jack,2,Unit,Internal,1,Stock Control,Expired,Current
19173,3,Operate a pallet hoist,2,Unit,Internal,3,Stock Control,Expired,Current
19174,5,Apply quality assurance principles in a beef boning room,3,Unit,Internal,4,Meat Industry Generic,Expired,Current
19175,5,Apply beef anatomical terms to beef product cutting lines,3,Unit,Internal,4,Meat Industry Generic,Expired,Current
19176,5,Demonstrate knowledge of specifications for beef forequarter products,3,Unit,Internal,4,Meat Industry Generic,Expired,Current
19177,5,Demonstrate knowledge of specifications for beef hindquarter products,3,Unit,Internal,4,Meat Industry Generic,Expired,Current
19178,5,Compare beef product compliance to written specifications,3,Unit,Internal,4,Meat Industry Generic,Expired,Current
19179,2,"Describe surface water oxygen chemistry, and the impact of wastewater discharge on surface water",5,Unit,Internal,4,Wastewater Treatment,Expired,Current
19180,2,"Describe wastewater treatment separation processes, and management of critical points",5,Unit,Internal,4,Wastewater Treatment,Expired,Current
19181,2,"Describe wastewater activated sludge treatment processes, and management of critical points",5,Unit,Internal,10,Wastewater Treatment,Expired,Current
19182,2,"Describe wastewater fixed growth reactor treatment processes, and management of critical points",5,Unit,Internal,6,Wastewater Treatment,Expired,Current
19183,2,"Describe wastewater oxidation pond treatment processes, and management of critical points",5,Unit,Internal,4,Wastewater Treatment,Expired,Current
19184,2,Describe lagoon type wastewater treatment processes and management of critical points,5,Unit,Internal,6,Wastewater Treatment,Expired,Current
19185,2,Demonstrate knowledge of sewage bio-solids management,5,Unit,Internal,8,Wastewater Treatment,Expired,Current
19186,2,"Describe effluent disinfection, and management of critical points",5,Unit,Internal,5,Wastewater Treatment,Expired,Current
19187,2,"Describe process control in a wastewater treatment plant, and management of critical points",5,Unit,Internal,3,Wastewater Treatment,Expired,Current
19188,3,Describe preventive maintenance and monitoring of product standards for wastewater treatment,3,Unit,Internal,3,Wastewater Treatment,Expired,Current
19189,2,"Describe wastewater reticulation system management, and management of critical points",5,Unit,Internal,12,Wastewater Treatment,Expired,Current
19190,2,Test the affect of wastewater discharge on surface water oxygen,5,Unit,Internal,4,Wastewater Treatment,Expired,Current
19191,2,Optimise and manage sedimentation and flotation processes in wastewater treatment,5,Unit,Internal,4,Wastewater Treatment,Expired,Current
19192,2,Optimise and manage fixed growth reactor processes in wastewater treatment,5,Unit,Internal,4,Wastewater Treatment,Expired,Current
19193,2,Optimise and manage oxidation pond processes in wastewater treatment,5,Unit,Internal,2,Wastewater Treatment,Expired,Current
19194,2,Optimise and manage lagoon processes in wastewater treatment,5,Unit,Internal,2,Wastewater Treatment,Expired,Current
19195,2,Optimise and manage solid waste management processes in wastewater treatment,5,Unit,Internal,5,Wastewater Treatment,Expired,Current
19196,2,Optimise and manage effluent disinfection processes in wastewater treatment,5,Unit,Internal,5,Wastewater Treatment,Expired,Current
19197,4,Report on a wastewater treatment plant topic or improvement,5,Unit,Internal,10,Wastewater Treatment,Registered,Current
19198,4,"Assess the optimisation of a wastewater treatment plant, and describe critical control points",5,Unit,Internal,12,Wastewater Treatment,Registered,Current
19199,4,Report on a water supply topic or improvement,5,Unit,Internal,10,Water Treatment,Registered,Current
19200,5,"Demonstrate knowledge of, and apply, mathematics in the water industry",3,Unit,Internal,4,Water - Generic,Registered,Current
19201,4,"Demonstrate knowledge of reticulated services and their location, in the water industry",3,Unit,Internal,4,Water Reticulation,Expired,Current
19202,2,"Demonstrate knowledge of trenching, and trenchless pipe installation for water reticulation",2,Unit,Internal,2,Water Reticulation,Expired,Current
19203,3,Lay pipes for water reticulation,3,Unit,Internal,2,Water Reticulation,Expired,Current
19204,4,Use as-built plans and produce a field sketch in the water industry,3,Unit,Internal,5,Water Reticulation,Expired,Current
19205,5,"Demonstrate knowledge of pathogens, diseases, and their control in water services reticulation",3,Unit,Internal,5,Water Reticulation,Registered,Current
19206,2,"Select, use, and maintain hand tools and equipment in water reticulation",2,Unit,Internal,7,Water Reticulation,Expired,Current
19207,3,Work in a confined space in the infrastructure industry,3,Unit,Internal,6,Generic Infrastructure Works,Registered,Current
19208,2,Demonstrate knowledge of water supply and reticulation systems,3,Unit,Internal,8,Water Reticulation,Expired,Current
19209,4,Demonstrate knowledge of water reticulation systems cleaning and disinfection,3,Unit,Internal,5,Water Reticulation,Expired,Current
19210,5,"Service, clean, disinfect, and restore reservoirs or reticulation mains",3,Unit,Internal,4,Water Reticulation,Expired,Current
19211,5,"Describe water supply mains materials and fittings, and causes and prevention of pipe failure",3,Unit,Internal,6,Water Reticulation,Expired,Current
19212,4,Demonstrate knowledge of wastewater collection and treatment systems,3,Unit,Internal,10,Water Reticulation,Expired,Current
19213,4,Demonstrate knowledge of blockage clearance and wastewater system maintenance,2,Unit,Internal,3,Water Reticulation,Expired,Current
19214,4,Carry out wastewater pipe unblocking and access chamber maintenance,3,Unit,Internal,4,Water Reticulation,Expired,Current
19215,5,"Describe wastewater systems and materials, and causes and prevention of pipe failure",3,Unit,Internal,6,Water Reticulation,Expired,Current
19216,2,Repair and maintain equipment and structures on a New Zealand aquaculture farm,4,Unit,Internal,15,Aquaculture,Expired,Current
19217,5,Describe the procedures and complete the application to gain legal authorisations for an aquaculture associated activity,4,Unit,Internal,10,Aquaculture,Registered,Current
19218,5,Demonstrate knowledge of the New Zealand and global aquaculture industry,4,Unit,Internal,5,Aquaculture,Registered,Current
19219,5,Describe hatchery techniques used in the New Zealand aquaculture industry,4,Unit,Internal,15,Aquaculture,Registered,Current
19220,5,Describe health issues and factors impacting on product quality for a selected aquaculture species,4,Unit,Internal,10,Aquaculture,Registered,Current
19221,3,Demonstrate knowledge of working environments for international airports,3,Unit,Internal,4,Border Quarantine,Expired,Current
19222,3,Demonstrate knowledge of working environments for overseas vessels,3,Unit,Internal,4,Border Quarantine,Expired,Current
19223,3,Demonstrate knowledge of working environments for imported cargo and conveyances,3,Unit,Internal,4,Border Quarantine,Expired,Current
19224,3,Demonstrate knowledge of working environments for international mail,3,Unit,Internal,4,Border Quarantine,Expired,Current
19225,2,Select and carry out biosecurity actions for imported plants and animals and their products,5,Unit,Internal,20,Border Quarantine,Expired,Current
19226,2,Select and carry out biosecurity actions for imported cargo and conveyances,5,Unit,Internal,25,Border Quarantine,Expired,Current
19227,2,Carry out veterinary services for imported live animals and their conveyances,6,Unit,Internal,16,Border Quarantine,Expired,Current
19228,2,Carry out veterinary services relevant to the export of live animals from New Zealand,6,Unit,Internal,16,Border Quarantine,Expired,Current
19229,2,Demonstrate knowledge of human rights legislation and the Human Rights Commission,4,Unit,Internal,7,Public Sector Core Skills,Expired,Current
19230,2,Apply knowledge of the operations of the Human Rights Commission,5,Unit,Internal,5,Public Sector Core Skills,Expired,Current
19231,2,Demonstrate knowledge of the international environment of human rights,5,Unit,Internal,6,Public Sector Core Skills,Expired,Current
19232,2,Demonstrate knowledge of human rights legislation and its impact on New Zealand laws and law making,5,Unit,Internal,3,Public Sector Core Skills,Expired,Current
19233,4,"Demonstrate knowledge of the operation, measurement, and control of an industrial process",5,Unit,Internal,10,Industrial Measurement and Control - Maintenance,Expiring,Current
19234,5,Diagnose and correct faults in industrial measurement and control systems,5,Unit,Internal,10,Industrial Measurement and Control - Maintenance,Expiring,Current
19235,4,Maintain and manage specialist analytical equipment used in industrial processes,5,Unit,Internal,10,Industrial Measurement and Control - Maintenance,Expiring,Current
19236,2,"Configure, test, and commission a distributed control system",5,Unit,Internal,10,Industrial Measurement and Control - Maintenance,Expired,Current
19237,2,Maintain complex control systems,5,Unit,Internal,10,Industrial Measurement and Control - Maintenance,Expired,Current
19238,2,Demonstrate knowledge of thermodynamics and heat transfer,5,Unit,Internal,8,Industrial Measurement and Control - Theory,Expired,Current
19239,2,Demonstrate knowledge of fluid mechanics for industrial measurement and control,5,Unit,Internal,8,Industrial Measurement and Control - Theory,Expired,Current
19240,2,Demonstrate knowledge of physical and chemical processes used in industry,5,Unit,Internal,8,Industrial Measurement and Control - Theory,Expired,Current
19241,4,Demonstrate knowledge of safety and compliance for industrial measurement and control systems,5,Unit,Internal,10,Industrial Measurement and Control - Theory,Expiring,Current
19242,2,"Demonstrate knowledge of earthing, shielding, and surge protection of industrial equipment",5,Unit,Internal,8,Industrial Measurement and Control - Theory,Expired,Current
19243,2,"Select, size, and specify control valves for simple process applications",5,Unit,Internal,8,Industrial Measurement and Control - Theory,Expired,Current
19244,2,"Select, size, and specify flowmeters for simple process applications",5,Unit,Internal,8,Industrial Measurement and Control - Theory,Expired,Current
19245,2,"Design, test, and configure industrial data communication systems",6,Unit,Internal,8,Industrial Measurement and Control - Theory,Expired,Current
19246,2,Describe and implement SCADA/HMI systems,6,Unit,Internal,8,Industrial Measurement and Control - Theory,Expired,Current
19247,2,Describe the use of scientific method and simple statistics in psychological study,1,Unit,Internal,2,Psychology,Expired,Current
19248,2,"Observe, record, and describe non-human animal behaviour from psychology study",1,Unit,Internal,2,Psychology,Expired,Current
19249,2,Describe the biological approach to psychology and contributions of key figures,1,Unit,Internal,2,Psychology,Expired,Current
19250,2,Describe the psychodynamic approach to psychology and contributions of key figures,1,Unit,Internal,2,Psychology,Expired,Current
19251,2,Describe the humanistic approach to psychology and contributions of key figures,1,Unit,Internal,2,Psychology,Expired,Current
19252,2,Describe the behavioural approach to psychology and contributions of key figures,1,Unit,Internal,2,Psychology,Expired,Current
19253,2,Describe the cognitive approach to psychology and contributions of key figures,1,Unit,Internal,2,Psychology,Expired,Current
19254,2,Explain behaviour from a media event using a psychological viewpoint,1,Unit,Internal,3,Psychology,Expired,Current
19255,2,"Observe, record, and describe human behaviour from psychology study",1,Unit,Internal,2,Psychology,Expired,Current
19256,2,Apply key features in experimental design for psychological research,2,Unit,Internal,2,Psychology,Expired,Current
19257,2,Describe and apply key features of non-experimental design in psychological research,2,Unit,Internal,2,Psychology,Expired,Current
19258,2,Describe correlation and demonstrate its application for psychological research,2,Unit,Internal,1,Psychology,Expired,Current
19259,2,Demonstrate the significance and use of the normal curve in psychological research,2,Unit,Internal,2,Psychology,Expired,Current
19260,2,Examine assumptions underlying approaches to psychology,2,Unit,Internal,6,Psychology,Expired,Current
19261,2,Explore use of scientific method in psychological research,2,Unit,Internal,5,Psychology,Expired,Current
19262,2,Describe ethical issues in psychological research,2,Unit,Internal,3,Psychology,Expired,Current
19265,2,Investigate the contribution of social psychology to psychological knowledge,2,Unit,Internal,3,Psychology,Expired,Current
19266,2,Investigate the contribution of developmental or lifespan psychology to psychological knowledge,2,Unit,Internal,3,Psychology,Expired,Current
19267,2,Investigate the contribution of the study of individual differences to psychological knowledge,2,Unit,Internal,3,Psychology,Expired,Current
19268,2,Investigate the contribution of clinical psychology to psychological knowledge,2,Unit,Internal,3,Psychology,Expired,Current
19269,2,Investigate the contribution of comparative psychology to psychological knowledge,2,Unit,Internal,3,Psychology,Expired,Current
19271,2,Use psychological knowledge to examine behaviour within a sporting context,2,Unit,Internal,3,Psychology,Expired,Current
19272,2,Use psychological knowledge to examine behaviour within a legal context,2,Unit,Internal,3,Psychology,Expired,Current
19273,2,Use psychological knowledge to examine behaviour within a health context,2,Unit,Internal,3,Psychology,Expired,Current
19274,2,Use psychological knowledge to examine behaviour within an educational context,2,Unit,Internal,3,Psychology,Expired,Current
19275,2,Use psychological knowledge to examine behaviour within a work context,2,Unit,Internal,3,Psychology,Expired,Current
19279,3,Haul a passenger train on a main line managed by a heritage site operator,4,Unit,Internal,9,Rail Operations,Expired,Current
19280,3,Prepare and move rail vehicles using a rubber-tyred tractor,2,Unit,Internal,2,Rail Operations,Expired,Current
19281,3,Perform core stationary shunting duties,2,Unit,Internal,2,Rail Operations,Registered,Current
19282,3,Perform train shunting duties,3,Unit,Internal,10,Rail Operations,Registered,Current
19283,3,Perform train inspection,3,Unit,Internal,10,Rail Operations,Registered,Current
19284,3,Perform passenger train inspection,3,Unit,Internal,8,Rail Operations,Expired,Current
19285,3,Call railway signals,2,Unit,Internal,2,Rail Core Skills,Expired,Current
19286,3,Demonstrate advanced knowledge of railway signals,4,Unit,Internal,15,Rail Operations,Registered,Current
19287,3,Demonstrate knowledge of the Automatic Signalling Rules system for rail operations,4,Unit,Internal,5,Rail Operations,Registered,Current
19288,3,"Demonstrate and apply knowledge of shunting terms, commands, and hand signals",3,Unit,Internal,2,Rail Operations,Registered,Current
19302,4,"Demonstrate knowledge of diesel fuel injectors, and repair them",4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Expired,Current
19303,3,Demonstrate knowledge of unit type diesel fuel injectors,3,Unit,Internal,3,Automotive Fuel Systems and Exhaust,Registered,Current
19304,4,Describe turbocharger diagnostic procedures and recondition an automotive turbocharger,4,Unit,Internal,7,Automotive Fuel Systems and Exhaust,Expired,Current
19305,3,Test electronic fuel management systems and replace components,4,Unit,Internal,4,Automotive Fuel Systems and Exhaust,Registered,Current
19306,4,Demonstrate understanding of the sentence planning and management process,3,Unit,Internal,8,Prisoner Management,Expired,Current
19307,6,Use active management in a prison environment,3,Unit,Internal,3,Prisoner Management,Expired,Current
19308,3,Engage in personal adjustment and informational counselling with an adult with hearing impairment,4,Unit,Internal,5,Hearing Therapy,Expired,Current
19309,4,Install electricity metering control relays,3,Unit,Internal,2,Electricity Supply - Metering,Expired,Current
19310,4,Install electricity metering single-phase whole current meters,4,Unit,Internal,3,Electricity Supply - Metering,Expired,Current
19311,4,Install electricity metering poly-phase whole current meters,4,Unit,Internal,3,Electricity Supply - Metering,Expired,Current
19312,4,Transport and package electricity metering revenue meters and test equipment,2,Unit,Internal,2,Electricity Supply - Metering,Expired,Current
19313,5,Demonstrate knowledge of electricity metering systems and installations,4,Unit,Internal,10,Electricity Supply - Metering,Expired,Current
19314,4,Programme electricity meter data loggers in the electricity supply industry,4,Unit,Internal,3,Electricity Supply - Metering,Expired,Current
19315,4,Bench test and adjust electricity meters,4,Unit,Internal,5,Electricity Supply - Metering,Expired,Current
19316,4,Design a current transformer (CT) electricity meter installation,5,Unit,Internal,12,Electricity Supply - Metering,Expired,Current
19317,4,Design a high voltage (HV) electricity meter installation,5,Unit,Internal,5,Electricity Supply - Metering,Expired,Current
19318,4,Install and commission electricity current transformer metering,5,Unit,Internal,10,Electricity Supply - Metering,Expired,Current
19319,4,Install and commission voltage transformer metering in the electricity supply industry,4,Unit,Internal,12,Electricity Supply - Metering,Expired,Current
19320,4,Calibrate revenue metering current transformers in the electricity supply industry,5,Unit,Internal,12,Electricity Supply - Metering,Expired,Current
19321,4,Calibrate revenue metering voltage transformers in the electricity supply industry,5,Unit,Internal,12,Electricity Supply - Metering,Expired,Current
19322,4,Calibrate high accuracy electricity meters in the electricity supply industry,5,Unit,Internal,12,Electricity Supply - Metering,Expired,Current
19323,6,Demonstrate knowledge of single and three-phase transformers used in the electricity supply industry,3,Unit,Internal,4,Electricity Supply - Core Skills,Registered,Current
19324,4,Demonstrate knowledge of the theory and operation of switch gear in the electricity supply industry,3,Unit,Internal,2,Electricity Supply - Core Skills,Expired,Current
19325,6,Demonstrate knowledge of the fundamentals of electricity generation in New Zealand,3,Unit,Internal,3,Electricity Supply - Core Skills,Expired,Current
19326,5,Maintain and modify distributed control systems to control electricity supply plant operations,5,Unit,Internal,15,Electricity Supply - Power System Management,Expired,Current
19327,4,Explain application and operation of biological wastewater treatment systems in the dairy industry,4,Unit,Internal,12,Dairy Environmental Management,Expired,Current
19328,5,Explain land-based wastewater treatment systems used in the dairy industry,3,Unit,Internal,8,Dairy Environmental Management,Expired,Current
19329,4,Explain the fermentation process in the dairy industry,4,Unit,Internal,8,Dairy Technology,Expired,Current
19330,4,Demonstrate knowledge of distillation skills in the dairy industry,4,Unit,Internal,8,Dairy Technology,Expired,Current
19331,5,Explain prevention and control of product safety hazards in the dairy industry,4,Unit,Internal,5,Dairy Product Safety and Risk Management,Expired,Current
19332,3,Explain in-process and final product testing in dairy industry laboratories,3,Unit,Internal,2,Dairy Laboratory Methodology,Expired,Current
19333,4,Explain sampling controls for in-process monitoring and final product sampling in the dairy industry,3,Unit,Internal,3,Dairy Laboratory Methodology,Expired,Current
19334,4,Demonstrate knowledge of continuous flow pasteurisation for milk processing,4,Unit,Internal,5,Milk Processing,Registered,Current
19335,4,Monitor pest management in the dairy industry,3,Unit,Internal,6,Dairy Product Safety and Risk Management,Expired,Current
19336,5,Prepare and present one to one on-job instruction in a dairy industry workplace,4,Unit,Internal,6,Dairy People Skills,Expired,Current
19340,6,Explain the establishment and operation of a workplace health and safety committee,4,Unit,Internal,5,Occupational Health and Safety Practice,Expired,Current
19341,7,Demonstrate knowledge of Hazard and Operability (HAZOP) studies in the workplace,4,Unit,Internal,6,Occupational Health and Safety Practice,Registered,Current
19342,4,Demonstrate and apply knowledge of fermentation and maturation of manufactured meat products in meat processing,3,Unit,Internal,10,Meat Manufacturing,Registered,Current
19343,4,Demonstrate knowledge of curing manufactured meat products in a meat processing operation,3,Unit,Internal,5,Meat Manufacturing,Registered,Current
19344,3,Cook or steam smallgoods products,3,Unit,Internal,4,Smallgoods,Expired,Current
19345,3,Break carcass meat into smallgoods primary cuts,3,Unit,Internal,4,Smallgoods,Expired,Current
19346,2,Fill smallgoods casings,2,Unit,Internal,5,Smallgoods,Expired,Current
19347,3,Optimise and manage abstraction and pre-treatment processes for drinking-water supply,6,Unit,Internal,10,Water Treatment,Expired,Current
19348,3,Optimise and manage separation processes for drinking-water treatment,5,Unit,Internal,4,Water Treatment,Expired,Current
19349,3,Optimise and manage coagulation and flocculation processes for drinking-water treatment,5,Unit,Internal,6,Water Treatment,Expired,Current
19350,3,"Optimise and manage filtration processes for drinking-water treatment, and manage critical points",5,Unit,Internal,6,Water Treatment,Expired,Current
19351,3,"Optimise and manage chlorine-based water treatment disinfection systems, and manage critical points",5,Unit,Internal,8,Water Treatment,Expired,Current
19352,3,"Optimise and manage water treatment waste processes, and manage critical points",5,Unit,Internal,3,Water Treatment,Expired,Current
19353,3,"Identify and manage process control in a water treatment plant, and manage critical points",5,Unit,Internal,3,Water Treatment,Expired,Current
19354,5,Manage drinking-water reticulation systems and critical control points,5,Unit,Internal,8,Water Reticulation,Expired,Current
19355,5,Produce scale production drawings using computer aided draughting (CAD) programs,3,Unit,Internal,8,Design - Computer Graphics,Expired,Current
19356,3,Optimise and manage hardness and corrosion control for drinking-water treatment,5,Unit,Internal,5,Water Treatment,Expired,Current
19357,4,Manage preventive maintenance and monitoring of product standards for drinking-water treatment,5,Unit,Internal,6,Water Treatment,Expired,Current
19358,4,Demonstrate knowledge of legislative requirements for the industrial rope access industry,3,Unit,Internal,3,Industrial Rope Access,Registered,Current
19359,4,"Identify, inspect and maintain height safety equipment",3,Unit,Internal,3,Industrial Rope Access,Registered,Current
19360,4,Plan and prepare for basic industrial rope access work,3,Unit,Internal,3,Industrial Rope Access,Registered,Current
19361,3,Set up and dismantle basic industrial rope access systems,3,Unit,Internal,14,Industrial Rope Access,Registered,Current
19362,3,Prepare and use industrial rope access systems,3,Unit,Internal,14,Industrial Rope Access,Registered,Current
19363,4,Carry out simple patient recovery by rope techniques,3,Unit,Internal,15,Industrial Rope Access,Registered,Current
19364,4,Identify and apply industrial rope access legislation and standards,4,Unit,Internal,8,Industrial Rope Access,Registered,Current
19365,3,Select and safely use industrial rope access equipment,4,Unit,Internal,15,Industrial Rope Access,Expired,Current
19366,3,Plan and prepare for advanced industrial rope access work,4,Unit,Internal,15,Industrial Rope Access,Registered,Current
19367,4,"Set up, alter, and dismantle industrial rope access systems",4,Unit,Internal,15,Industrial Rope Access,Registered,Current
19368,4,Operate advanced industrial rope access systems ,4,Unit,Internal,15,Industrial Rope Access,Registered,Current
19369,4,Carry out advanced patient recovery techniques using industrial rope access systems,4,Unit,Internal,20,Industrial Rope Access,Registered,Current
19370,4,Demonstrate knowledge of the Spreadmark Code of Practice as it applies to nutrient application,3,Unit,Internal,2,General Agriculture,Registered,Current
19371,4,Demonstrate knowledge of legislation and risk management in transporting and applying nutrients,3,Unit,Internal,3,General Agriculture,Registered,Current
19372,4,Describe the environmental implications of applying nutrients and associated activities,3,Unit,Internal,2,General Agriculture,Registered,Current
19373,4,"Demonstrate knowledge of nutrients, and the implications for handling and applying nutrients",3,Unit,Internal,3,General Agriculture,Registered,Current
19374,4,"Describe nutrient applicators and nutrient application, and operate nutrient-application machinery efficiently",4,Unit,Internal,4,General Agriculture,Registered,Current
19375,3,Manufacture and assemble cable drums,3,Unit,Internal,5,Wood Product Manufacturing Skills,Expired,Current
19376,2,Develop 3D work using ideas and methods from established practice,1,Unit,Internal,8,Practical Art,Expired,Current
19377,2,Develop design solutions from a given design situation using established ideas and methods,1,Unit,Internal,8,Practical Art,Expired,Current
19378,4,"Demonstrate knowledge of polymer property relationships, their structure and polymerisation",5,Unit,Internal,12,Plastics Materials,Registered,Current
19379,4,Demonstrate knowledge of rheology and calculate output from processing equipment for polymer compounds,5,Unit,Internal,6,Plastics Materials,Registered,Current
19380,4,Perform heat transfer calculations for plastics processing,5,Unit,Internal,8,Plastics Processing - General,Registered,Current
19381,4,"Describe plastics processing, fabrication and product finishing technologies",5,Unit,Internal,8,Plastics Processing - General,Registered,Current
19382,2,Direct rail traffic movements by operating a local control panel,2,Unit,Internal,2,Rail Operations,Expired,Current
19383,3,Demonstrate knowledge of rail operator communication systems,2,Unit,Internal,2,Rail Core Skills,Registered,Current
19384,3,Operate a diesel-mechanical/hydraulic railcar/multiple unit on a main line managed by a network operator,4,Unit,Internal,10,Rail Operations,Expired,Current
19385,2,Operate a diesel-mechanical railcar on a main line managed by a heritage site operator,4,Unit,Internal,8,Rail Operations,Expired,Current
19386,4,Drive an electric multiple unit on a main line managed by a network operator,4,Unit,Internal,18,Rail Operations,Registered,Current
19387,4,Haul a freight train on a network route using a main line locomotive,4,Unit,Internal,25,Rail Operations,Registered,Current
19388,3,Haul a passenger train on a network route using a main line locomotive,4,Unit,Internal,15,Rail Operations,Expired,Current
19389,3,Service and operate a diesel-electric railcar,3,Unit,Internal,5,Rail Operations,Expired,Current
19390,3,Operate a diesel-electric railcar on a main line managed by a network operator,4,Unit,Internal,10,Rail Operations,Expired,Current
19391,3,Demonstrate knowledge of safety procedures on a passenger rail vehicle,2,Unit,Internal,2,Rail Core Skills,Registered,Current
19392,3,Demonstrate knowledge of rail transport in New Zealand,2,Unit,Internal,5,Rail Core Skills,Expired,Current
19393,3,Operate a diesel-electric locomotive to move rail vehicles using a remote control system,3,Unit,Internal,8,Rail Operations,Expired,Current
19394,3,Demonstrate knowledge of a track warrant control (TWC) system,4,Unit,Internal,6,Rail Operations,Expired,Current
19395,3,Demonstrate knowledge of a single line automatic signalling (SLAS) system,4,Unit,Internal,5,Rail Operations,Expired,Current
19396,3,Demonstrate knowledge of a double line automatic signalling (DLAS) system,4,Unit,Internal,5,Rail Operations,Expired,Current
19397,2,Demonstrate knowledge of a train order control system,4,Unit,Internal,3,Rail Operations,Expired,Current
19399,2,Develop an integrated practice theory for community work,6,Unit,Internal,24,Community Work,Registered,Current
19400,2,Demonstrate an integrated practice theory for counselling,7,Unit,Internal,24,Counselling,Expired,Current
19401,3,Integrate theory and practice in Iwi/Maori social service work,5,Unit,Internal,12,Iwi/Maori Social Services,Expired,Current
19402,3,Demonstrate an integrated practice theory for working in Iwi/Maori social services,7,Unit,Internal,24,Iwi/Maori Social Services,Expired,Current
19403,2,Describe how to reduce the risk of violence in a social service workplace,4,Unit,Internal,3,Manage Social Services,Expired,Current
19404,2,Analyse ethics for social service work,5,Unit,Internal,4,Professional Development of Social Service Workers,Expired,Current
19405,2,Prepare a self care plan for social service work,4,Unit,Internal,3,Professional Development of Social Service Workers,Expired,Current
19406,2,"Integrate knowledge, skills, and values learning in social service work",4,Unit,Internal,12,Professional Development of Social Service Workers,Expired,Current
19407,2,Describe professional supervision in the social services,4,Unit,Internal,4,Professional Development of Social Service Workers,Expired,Current
19408,2,Outline the meaning and relevance of Te Tiriti o Waitangi in social service work,3,Unit,Internal,6,Provide Social Services,Expired,Current
19409,2,Establish working relationships with users of social services,4,Unit,Internal,12,Provide Social Services,Expired,Current
19410,2,Demonstrate knowledge of and plan to establish and maintain working relationships with whanau in social service work,4,Unit,Internal,12,Provide Social Services,Registered,Current
19411,2,"Respond to the presenting concerns, issues, and needs of social service users",4,Unit,Internal,9,Provide Social Services,Expired,Current
19412,2,Participate in a noho marae within the social services,3,Unit,Internal,6,Provide Social Services,Expired,Current
19413,2,Describe social services in the community,4,Unit,Internal,4,Provide Social Services,Expired,Current
19414,2,Integrate theory and practice in social work,5,Unit,Internal,12,Social Work,Expired,Current
19415,2,Demonstrate an integrated practice theory for social work,6,Unit,Internal,24,Social Work,Expired,Current
19416,4,Demonstrate an integrated practice theory for youth work,6,Unit,Internal,24,Youth Development,Registered,Current
19417,4,Demonstrate knowledge of gas testing in a petrochemical workplace,2,Unit,Internal,3,Petrochemical Process and Product Management,Expired,Current
19418,4,Demonstrate basic knowledge of chemistry relevant to energy and chemical processes,2,Unit,Internal,4,Operation of Energy and Chemical Plant,Registered,Current
19419,2,Demonstrate knowledge of basic thermodynamics and instrumentation used in petrochemical environments,2,Unit,Internal,2,Petrochemical Process and Product Management,Expired,Current
19420,3,Demonstrate knowledge of the legal system as it pertains to local government in New Zealand,5,Unit,Internal,8,Compliance and Regulatory Control,Expired,Current
19421,4,Demonstrate knowledge of the Resource Management Act 1991 as it relates to local authority hearings,4,Unit,Internal,7,Compliance and Regulatory Control,Expired,Current
19422,4,Advise and report meeting procedures of a local authority,5,Unit,Internal,15,Compliance and Regulatory Control,Expired,Current
19423,5,Deliver commentaries to passengers in a vehicle,3,Unit,Internal,4,Passenger Service,Expired,Current
19424,2,Demonstrate knowledge of environmental awareness and Green Globe 21 for adventure tourism,3,Unit,Internal,2,Adventure Tourism,Expired,Current
19425,4,Demonstrate knowledge of the industry standards and legal requirements for adventure activities,3,Unit,Internal,2,Adventure Tourism,Registered,Current
19426,4,Analyse and apply leadership skills to adventure tourism activities,4,Unit,Internal,5,Adventure Tourism,Expiring,Current
19427,2,"Manage a simulated adventure tourism guiding emergency, and describe media communications",5,Unit,Internal,5,Adventure Tourism,Expired,Current
19428,3,Demonstrate sea kayaking skills on coastal water,3,Unit,Internal,2,Canoeing - Kayaking,Registered,Current
19429,3,Demonstrate rescue procedures for sea kayaking in close proximity to landing sites,4,Unit,Internal,10,Canoeing - Kayaking,Expired,Current
