Standard Number,Standard Version,Standard Title,Standard Level,Standard Type,Assessment Type,Credits,Domain,Standard Status,Standard Version Status
90694,3,Carry out an extended practical investigation involving quantitative analysis,3,Achievement,Internal,4,Chemistry,Expired,Current
90695,3,Determine the concentration of an oxidant or reductant by titration,3,Achievement,Internal,2,Chemistry,Expired,Current
90696,3,Describe oxidation-reduction processes,3,Achievement,External,3,Chemistry,Expired,Current
90697,1,"Describe selected atomic, molecular and ionic properties",3,Achievement,External,3,Chemistry,Expired,Current
90698,3,Describe aspects of organic chemistry,3,Achievement,External,5,Chemistry,Expired,Current
90699,1,Describe and use thermochemical principles,3,Achievement,External,3,Chemistry,Expired,Current
90700,3,Describe properties of aqueous systems,3,Achievement,External,5,Chemistry,Expired,Current
90701,3,Analyse natural processes in the context of a geographic environment,3,Achievement,External,4,Geography,Expired,Current
90702,3,Analyse a cultural process,3,Achievement,External,4,Geography,Expired,Current
90703,3,Explain the contribution of geography to planning and decision-making processes,3,Achievement,Internal,3,Geography,Expired,Current
90704,3,Select and apply skills and ideas in a geographic context,3,Achievement,External,4,Geography,Expired,Current
90705,3,Carry out and present geographic research with consultation,3,Achievement,Internal,3,Geography,Expired,Current
90706,3,Analyse a contemporary geographic issue and evaluate courses of action,3,Achievement,Internal,3,Geography,Expired,Current
90707,3,Analyse a geographic topic at a global scale,3,Achievement,Internal,3,Geography,Expired,Current
90708,3,Analyse a health issue for a particular group within New Zealand society,3,Achievement,Internal,5,Health Education,Expired,Current
90709,3,Analyse an international health issue,3,Achievement,External,5,Health Education,Expired,Current
90710,3,Explain a range of health practices currently used in New Zealand,3,Achievement,Internal,5,Health Education,Expired,Current
90711,3,Explain a contemporary dilemma or ethical issue in relation to well-being,3,Achievement,External,4,Health Education,Expired,Current
90712,3,Examine models of health promotion and their implications for well-being,3,Achievement,External,5,Health Education,Expired,Current
90713,3,Carry out a practical investigation into an aspect of an organism's ecological niche with guidance,3,Achievement,Internal,4,Biology,Expired,Current
90714,3,Research a contemporary biological issue,3,Achievement,Internal,3,Biology,Expired,Current
90715,3,Describe the role of DNA in relation to gene expression,3,Achievement,External,4,Biology,Expired,Current
90716,3,Describe animal behaviour and plant responses in relation to environmental factors,3,Achievement,External,4,Biology,Expired,Current
90717,3,Describe processes and patterns of evolution,3,Achievement,External,3,Biology,Expired,Current
90718,3,Describe applications of biotechnological techniques,3,Achievement,Internal,3,Biology,Expired,Current
90719,3,Describe trends in human evolution,3,Achievement,External,3,Biology,Expired,Current
90720,3,Produce an extended piece of writing in a selected style,3,Achievement,Internal,4,English Written Language,Expired,Current
90721,3,Respond critically to written text(s) studied,3,Achievement,External,3,English Written Language,Expired,Current
90722,3,Respond critically to Shakespearean drama studied,3,Achievement,External,3,English Written Language,Expired,Current
90723,3,Respond critically to oral or visual text studied,3,Achievement,External,3,English Written Language,Expired,Current
90724,3,Read and respond critically to unfamiliar prose and poetry texts,3,Achievement,External,3,English Written Language,Expired,Current
90725,3,Construct and deliver an oral presentation,3,Achievement,Internal,4,English Oral Language,Expired,Current
90726,3,Complete independent research on a language or literature topic and present conclusions in writing,3,Achievement,Internal,4,English Written Language,Expired,Current
90727,3,Carry out a practical scientific investigation with guidance,3,Achievement,Internal,4,Science - Core,Expired,Current
90728,3,Research a current scientific controversy,3,Achievement,Internal,4,Science - Core,Expired,Current
90729,3,Describe genetic processes,3,Achievement,External,4,Science - Core,Expired,Current
90730,3,Describe selected organic compounds and their uses,3,Achievement,External,4,Science - Core,Expired,Current
90731,3,Describe geological processes affecting New Zealand,3,Achievement,External,2,Science - Core,Expired,Current
90732,3,"Describe selected properties and applications of EMR, radioactive decay, sound and ultrasound",3,Achievement,External,4,Science - Core,Expired,Current
90733,3,Report on a recent astronomical event or discovery,3,Achievement,Internal,2,Science - Core,Expired,Current
90734,3,Negotiate a brief and a solution by applying a design process,3,Achievement,External,5,Design - Graphic Communication,Expired,Current
90735,3,Plan and produce a presentation to communicate design ideas,3,Achievement,External,4,Design - Graphic Communication,Expired,Current
90736,3,Develop and communicate a solution to an architectural or environmental design brief,3,Achievement,Internal,5,Design - Graphic Communication,Expired,Current
90737,3,Develop and communicate a solution to an engineering or technological design brief,3,Achievement,Internal,5,Design - Graphic Communication,Expired,Current
90738,3,Develop and communicate a solution to a media or technical illustration design brief,3,Achievement,Internal,5,Design - Graphic Communication,Expired,Current
90739,3,Apply knowledge to plan a physical activity programme or experience,3,Achievement,Internal,3,Physical Education,Expired,Current
90740,4,"Explain, with evidence, the effectiveness of a physical activity programme and its influence on hauora/well-being",3,Achievement,Internal,3,Physical Education,Expired,Current
90741,3,Appraise performance and review a programme for performance improvement for self or others,3,Achievement,Internal,5,Physical Education,Expired,Current
90742,3,Perform a physical activity to nationally developed performance standards,3,Achievement,Internal,4,Physical Education,Expired,Current
90743,3,"Examine a current physical activity event, trend or issue impacting on New Zealand society",3,Achievement,Internal,4,Physical Education,Expired,Current
90744,3,Examine physical activity and take action to influence the participation of others,3,Achievement,Internal,5,Physical Education,Expired,Current
90745,2,Describe plant propagation methods,1,Achievement,External,2,Agricultural and Horticultural Science,Expired,Current
90746,3,"Describe plant structure, function and processes, and plant management practices",1,Achievement,External,4,Agricultural and Horticultural Science,Expired,Current
90747,3,Plan and prepare food to meet the nutritional needs of an identified individual,1,Achievement,Internal,6,Food Technology and Nutrition,Expired,Current
90748,3,Interpret and apply food and nutrition information,1,Achievement,External,5,Food Technology and Nutrition,Expired,Current
90749,3,"Write crafted text in Indonesian, using complex language, with the support of resources",3,Achievement,Internal,3,Indonesian,Expired,Current
90750,2,"Rangahau, whakarite me te whakaputa whaikorero",2,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90751,2,Whakaputa i te korero tene,2,Achievement,Internal,2,Te Reo Rangatira,Expired,Current
90752,2,Panui i te reo tawhito,2,Achievement,External,3,Te Reo Rangatira,Expired,Current
90753,2,Panui i te reo hou,2,Achievement,External,3,Te Reo Rangatira,Expired,Current
90754,2,Whakaputa i te tuhinga,2,Achievement,Internal,4,Te Reo Rangatira,Expired,Current
90755,2,Titotito i te korero whakangahau,2,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90756,2,Matakitaki me te hanga i te whakaaturanga,2,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90757,2,Hanga tuhinga i te reo o tona ao mohio,2,Achievement,Internal,4,Tuhituhi,Expired,Current
90758,2,Define and describe economic concepts and terms in relation to given issues,2,Achievement,External,3,Economics,Expired,Current
90759,2,Use economic models to illustrate aspects of given issues,2,Achievement,External,4,Economics,Expired,Current
90760,2,Carry out an investigation of a current economic issue,2,Achievement,Internal,6,Economics,Expired,Current
90761,2,Process and interpret statistical data in relation to given economic issues,2,Achievement,External,4,Economics,Expired,Current
90762,2,Describe economic effects of given issues.,2,Achievement,External,3,Economics,Expired,Current
90763,3,Solve simple quantitative chemical problems,2,Achievement,Internal,2,Chemistry,Expired,Current
90764,2,Describe the nature and life cycle of stars,2,Achievement,External,2,Science - Core,Expired,Current
90765,2,Design and produce a media product and evaluate the process used to create the product,2,Achievement,Internal,6,Media Studies,Expired,Current
90766,2,Describe the chemical properties and effects of fertilisers,2,Achievement,External,4,Science - Core,Expired,Current
90767,2,Describe New Zealand's geological history,2,Achievement,External,3,Science - Core,Expired,Current
90768,2,Use physics concepts and principles to describe the behaviour of light,2,Achievement,External,4,Science - Core,Expired,Current
90769,2,Research the interaction between humans and an aspect of biology,2,Achievement,Internal,3,Biology,Expired,Current
90770,2,Tuhituhi i te reo o tona ao mohio,2,Achievement,External,4,Tuhituhi,Expired,Current
90771,2,Research information to present a scientific report,2,Achievement,Internal,3,Science - Core,Expired,Current
90772,2,Describe the factors and processes involved in the evolution of New Zealand's plants and animals,2,Achievement,External,4,Science - Core,Expired,Current
90773,2,Examine how technological practice is influenced by responsibilities to the wider community,2,Achievement,External,4,Technology - General Education,Expired,Current
90774,2,"Carry out a practical physics investigation with guidance, that leads to a mathematical relationship",3,Achievement,Internal,5,Physics,Expired,Current
90775,2,Present a portfolio of musical composition,3,Achievement,Internal,8,Making Music,Expired,Current
90776,2,Prepare and present performances of music as a featured soloist,3,Achievement,Internal,8,Making Music,Expired,Current
90777,2,Demonstrate aural skill across a range of musical styles and genres,3,Achievement,External,4,Making Music,Expired,Current
90778,3,"Collect and process information, and carry out an economic analysis",3,Achievement,Internal,5,Economics,Expired,Current
90779,2,Investigate an aspect of media and explain its significance for New Zealand,3,Achievement,Internal,4,Media Studies,Expired,Current
90780,2,Describe properties of particles and thermochemical principles,3,Achievement,External,5,Chemistry,Expired,Current
90781,2,Panui kia whai maramatanga i te reo o te ao whanui,3,Achievement,External,3,Panui,Expired,Current
90782,2,Whakaoti tuhinga okawa i te reo o te ao whanui,3,Achievement,External,4,Tuhituhi,Expired,Current
90783,2,Hanga tuhinga auaha i te reo o te ao whanui,3,Achievement,Internal,4,Tuhituhi,Expired,Current
90784,2,Panui kia wetewete i te reo o te ao whanui,3,Achievement,External,3,Panui,Expired,Current
90785,2,Matapaki i te kaupapa e taunga ana,3,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90786,2,Panui i te tuhinga roa,3,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90787,2,Whakaputa i te tuhinga roa,3,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90788,2,Ohia ki te korero mo te kaupapa pupu noa,3,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90789,2,Panui i nga tuhinga popoto,3,Achievement,External,3,Te Reo Rangatira,Expired,Current
90790,2,Tuhituhi whakaaro e hangai ana ki te kaupapa,3,Achievement,External,3,Te Reo Rangatira,Expired,Current
90791,2,"Whakarite, whakaputa i te whakaaturanga",3,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90792,2,Develop a proposal for a production process for a client,3,Achievement,Internal,6,Technology - General Education,Expired,Current
90794,2,Describe inflation and its causes and effects using economic models,2,Achievement,External,4,Economics,Expired,Current
90795,2,Describe international trade and its causes and effects using economic models,2,Achievement,External,4,Economics,Expired,Current
90796,2,Describe economic growth and its causes and effects using economic models,2,Achievement,External,4,Economics,Expired,Current
90797,2,"Process, present and analyse statistical data in relation to given economic issues",2,Achievement,Internal,6,Economics,Expired,Current
90798,2,Describe government policies in relation to economic issues,2,Achievement,External,6,Economics,Expired,Current
90799,2,Demonstrate an understanding of straightforward algebraic methods,1,Achievement,External,4,Algebra,Expired,Current
90800,2,Demonstrate an understanding of the features of graphs,1,Achievement,External,3,Algebra,Expired,Current
90801,2,Korero i te reo okawa,1,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90802,2,Korero i te reo opaki,1,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90803,2,Ata hanga i tetahi tuhinga,1,Achievement,Internal,4,Te Reo Rangatira,Expired,Current
90804,2,Tuhituhi korero e hangai ana ki te kaupapa,1,Achievement,External,3,Te Reo Rangatira,Expired,Current
90805,2,Matakitaki i te reo ataata,1,Achievement,Internal,3,Te Reo Rangatira,Expired,Current
90806,2,Demonstrate an understanding of mathematical relationships,2,Achievement,External,6,Algebra,Expired,Current
90807,2,Demonstrate an understanding of calculus methods,2,Achievement,External,4,Calculus,Expired,Current
90808,2,Demonstrate an understanding of processes involving trigonometry and coordinates,2,Achievement,External,4,Trigonometry,Expired,Current
90809,2,Demonstrate understanding of straightforward mathematical processes,2,Achievement,Internal,5,Algebra,Expired,Current
90810,3,"Undertake a personal action, with reflection, that contributes to a sustainable future",2,Achievement,Internal,6,Environmental Sustainability,Registered,Current
90811,3,Explain how human activity in a biophysical environment has consequences for a sustainable future,2,Achievement,Internal,4,Environmental Sustainability,Registered,Current
90812,2,"Describe world views, their expression through practices and activities and the consequences for a sustainable future",2,Achievement,External,4,Environmental Sustainability,Expired,Current
90813,3,Demonstrate understanding of how different personal values have implications for a sustainable future,2,Achievement,Internal,3,Environmental Sustainability,Registered,Current
90814,3,Demonstrate understanding of aspects of sustainability in different contexts,2,Achievement,External,4,Environmental Sustainability,Registered,Current
90815,2,Work cooperatively to develop and present a strategy or design for sustainability in response to a future scenario,2,Achievement,Internal,3,Environmental Sustainability,Expired,Current
90816,3,Describe the purpose of a sacred text within a religious tradition,1,Achievement,Internal,6,Understanding Religion,Expired,Current
90817,3,Describe a significant development within a religious tradition,1,Achievement,Internal,6,Understanding Religion,Expired,Current
90818,3,Describe the application of the key ethical principle(s) of a religious tradition to an issue,1,Achievement,Internal,6,Understanding Religion,Expired,Current
90819,3,Describe key beliefs of a religious tradition,1,Achievement,Internal,6,Understanding Religion,Expired,Current
90820,2,Examine the meanings within a sacred text,2,Achievement,Internal,6,Understanding Religion,Expired,Current
90821,3,Explain the changes in an expression(s) of a religious tradition,2,Achievement,Internal,6,Understanding Religion,Registered,Current
90822,3,Explain how a contemporary social action derives from the ethical principles of a religious tradition,2,Achievement,Internal,6,Understanding Religion,Registered,Current
90823,3,Explain the key beliefs within two religious traditions in relation to a significant religious question,2,Achievement,Internal,6,Understanding Religion,Registered,Current
90824,2,Analyse a significant theme in a sacred text,3,Achievement,Internal,6,Understanding Religion,Expired,Current
90825,3,Analyse a religious tradition(s) in Aotearoa New Zealand,3,Achievement,Internal,6,Understanding Religion,Registered,Current
90826,3,Analyse the response of a religious tradition to a contemporary ethical issue,3,Achievement,Internal,6,Understanding Religion,Registered,Current
90827,3,Analyse the key beliefs of a religious tradition and a secular world view in relation to ultimate questions,3,Achievement,Internal,6,Understanding Religion,Registered,Current
90828,3,Evaluate a personal action that contributes towards a sustainable future,3,Achievement,Internal,6,Environmental Sustainability,Registered,Current
90829,2,Investigate the interrelationship between humans and a biophysical environment in relation to a sustainable future,3,Achievement,Internal,4,Environmental Sustainability,Expired,Current
90830,2,Compare and contrast initiatives in relation to a sustainable future,3,Achievement,External,4,Environmental Sustainability,Expired,Current
90831,3,Analyse the impact that policies have on a sustainable future,3,Achievement,External,5,Environmental Sustainability,Registered,Current
90832,3,Develop a strategy for an organisation that will contribute to a sustainable future,3,Achievement,Internal,5,Environmental Sustainability,Registered,Current
90833,2,Demonstrate an understanding of calculus concepts when solving differentiation and integration problems,3,Achievement,External,7,Calculus,Expired,Current
90834,2,Demonstrate an understanding of equations and expressions when solving problems,3,Achievement,External,7,Algebra,Expired,Current
90835,2,Demonstrate an understanding of patterns and relationships when solving problems,3,Achievement,External,5,Algebra,Expired,Current
90836,2,Demonstrate an understanding of mathematical concepts without the use of electronic technology,3,Achievement,Internal,5,Calculus,Expired,Current
90837,2,Demonstrate an understanding of internal features of a small business,1,Achievement,External,4,Business Studies,Expired,Current
90838,3,Demonstrate an understanding of external factors influencing a small business,1,Achievement,External,4,Business Studies,Expired,Current
90839,2,Apply business knowledge to an operational problem(s) in a given small business context,1,Achievement,External,4,Business Studies,Expired,Current
90840,3,Apply the marketing mix to a new or existing product,1,Achievement,Internal,3,Business Studies,Expired,Current
90841,2,Investigate aspects of human resource processes in a business,1,Achievement,Internal,3,Business Studies,Expired,Current
90842,2,Carry out and review a product-based business activity within a classroom context with direction,1,Achievement,Internal,6,Business Studies,Expired,Current
90843,2,Demonstrate understanding of the internal operations of a large business,2,Achievement,External,4,Business Studies,Registered,Current
90844,3,Demonstrate understanding of how a large business responds to external factors,2,Achievement,External,4,Business Studies,Registered,Current
90845,2,Apply business knowledge to a critical problem(s) in a given large business context,2,Achievement,External,4,Business Studies,Registered,Current
90846,2,Conduct market research for a new or existing product,2,Achievement,Internal,3,Business Studies,Registered,Current
90847,2,Investigate the application of motivation theory in a business,2,Achievement,Internal,3,Business Studies,Registered,Current
90848,2,"Carry out, review and refine a business activity within a community context with guidance",2,Achievement,Internal,9,Business Studies,Registered,Current
90849,3,"Show understanding of specified aspect(s) of studied written text(s), using supporting evidence",1,Achievement,External,4,English Written Language,Expired,Current
90850,4,"Show understanding of specified aspect(s) of studied visual or oral text(s), using supporting evidence",1,Achievement,External,4,English Visual Language,Expired,Current
90851,2,"Show understanding of significant aspects of unfamiliar written text(s) through close reading, using supporting evidence",1,Achievement,External,4,English Written Language,Expired,Current
